ºÏÔ¼´úÂë,¸üĞÂÊ±¼ä,×îĞÂ¼Û,³É½»Á¿,Âò¼ÛÒ»,ÂòÁ¿Ò»,Âô¼ÛÒ»,ÂôÁ¿Ò»,³Ö²ÖÁ¿,»»ÊÖÂÊ
au1812,11:30:00.500,279.35,32312,281.25,279.25,5,279.35,1,63242,9.04668e+09
au1812,13:30:00.500,279,32352,281.25,279,1,279.3,12,63258,9.05784e+09
au1812,13:30:01.0,279.2,32354,281.25,279.2,1,279.25,1,63258,9.0584e+09
au1812,13:30:01.500,279.2,32354,281.25,279.2,5,279.25,1,63258,9.0584e+09
au1812,13:30:02.0,279.2,32356,281.25,279.2,10,279.25,5,63258,9.05896e+09
au1812,13:30:02.500,279.2,32356,281.25,279.2,10,279.25,5,63258,9.05896e+09
au1812,13:30:03.0,279.2,32356,281.25,279.2,11,279.25,5,63258,9.05896e+09
au1812,13:30:03.500,279.2,32356,281.25,279.2,10,279.25,5,63258,9.05896e+09
au1812,13:30:04.500,279.2,32356,281.25,279.2,8,279.25,5,63258,9.05896e+09
au1812,13:30:05.0,279.2,32356,281.25,279.2,7,279.25,5,63258,9.05896e+09
au1812,13:30:05.500,279.2,32362,281.25,279.2,4,279.25,5,63258,9.06063e+09
au1812,13:30:06.0,279.2,32362,281.25,279.2,4,279.25,5,63258,9.06063e+09
au1812,13:30:07.0,279.2,32362,281.25,279.2,4,279.25,5,63258,9.06063e+09
au1812,13:30:08.0,279.2,32362,281.25,279.2,4,279.25,5,63258,9.06063e+09
au1812,13:30:08.500,279.2,32368,281.25,279.2,1,279.25,11,63260,9.06231e+09
au1812,13:30:09.0,279.2,32368,281.25,279.2,1,279.25,2,63260,9.06231e+09
au1812,13:30:13.0,279.2,32368,281.25,279.2,1,279.25,2,63260,9.06231e+09
au1812,13:30:19.0,279.2,32368,281.25,279.2,1,279.25,10,63260,9.06231e+09
au1812,13:30:19.500,279.2,32368,281.25,279.2,1,279.25,2,63260,9.06231e+09
au1812,13:30:21.500,279.2,32368,281.25,279.2,1,279.25,13,63260,9.06231e+09
au1812,13:30:22.0,279.2,32370,281.25,279.15,3,279.25,27,63262,9.06287e+09
au1812,13:30:22.500,279.2,32370,281.25,279.15,3,279.2,19,63262,9.06287e+09
au1812,13:30:23.0,279.2,32370,281.25,279.1,8,279.2,19,63262,9.06287e+09
au1812,13:30:23.500,279.2,32370,281.25,279.1,28,279.2,19,63262,9.06287e+09
au1812,13:30:24.0,279.2,32370,281.25,279.1,29,279.2,19,63262,9.06287e+09
au1812,13:30:27.500,279.2,32370,281.25,279.1,29,279.2,19,63262,9.06287e+09
au1812,13:30:31.500,279.2,32370,281.25,279.1,36,279.2,19,63262,9.06287e+09
au1812,13:30:34.500,279.2,32370,281.25,279.1,51,279.2,19,63262,9.06287e+09
au1812,13:30:39.0,279.2,32370,281.25,279.1,51,279.2,19,63262,9.06287e+09
au1812,13:30:41.0,279.1,32372,281.25,279.1,50,279.2,19,63262,9.06343e+09
au1812,13:30:42.0,279.1,32372,281.25,279.1,52,279.2,19,63262,9.06343e+09
au1812,13:30:43.500,279.1,32382,281.25,279.1,50,279.2,19,63254,9.06622e+09
au1812,13:30:45.0,279.1,32382,281.25,279.1,50,279.2,26,63254,9.06622e+09
au1812,13:30:48.500,279.1,32382,281.25,279.1,50,279.2,29,63254,9.06622e+09
au1812,13:30:53.0,279.1,32382,281.25,279.1,53,279.2,29,63254,9.06622e+09
au1812,13:30:56.0,279.1,32382,281.25,279.1,53,279.2,26,63254,9.06622e+09
au1812,13:30:56.500,279.1,32382,281.25,279.1,53,279.2,26,63254,9.06622e+09
au1812,13:31:01.500,279.1,32384,281.25,279.1,52,279.2,29,63252,9.06678e+09
au1812,13:31:02.0,279.1,32384,281.25,279.1,54,279.2,29,63252,9.06678e+09
au1812,13:31:07.0,279.1,32384,281.25,279.15,1,279.2,29,63252,9.06678e+09
au1812,13:31:07.500,279.1,32384,281.25,279.15,1,279.2,31,63252,9.06678e+09
au1812,13:31:14.500,279.1,32384,281.25,279.15,4,279.2,31,63252,9.06678e+09
au1812,13:31:16.0,279.1,32384,281.25,279.15,11,279.2,24,63252,9.06678e+09
au1812,13:31:16.500,279.1,32384,281.25,279.15,13,279.2,24,63252,9.06678e+09
au1812,13:31:24.0,279.1,32384,281.25,279.15,6,279.2,24,63252,9.06678e+09
au1812,13:31:26.0,279.1,32384,281.25,279.15,6,279.2,24,63252,9.06678e+09
au1812,13:31:26.500,279.1,32384,281.25,279.15,6,279.2,24,63252,9.06678e+09
au1812,13:31:30.0,279.15,32386,281.25,279.15,5,279.2,24,63254,9.06733e+09
au1812,13:31:33.500,279.15,32392,281.25,279.15,2,279.2,24,63260,9.06901e+09
au1812,13:31:46.0,279.15,32392,281.25,279.15,7,279.2,24,63260,9.06901e+09
