合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,换手率
T1806,13:24:26.500,93.565,16959,93.775,93.565,4,93.57,34,46304,1.58852e+10
T1806,13:24:27.0,93.565,16959,93.775,93.565,4,93.57,34,46304,1.58852e+10
T1806,13:24:27.500,93.565,16959,93.775,93.565,4,93.57,34,46304,1.58852e+10
T1806,13:24:28.0,93.565,16961,93.775,93.565,4,93.57,34,46305,1.58871e+10
T1806,13:24:28.500,93.565,16961,93.775,93.565,4,93.57,34,46305,1.58871e+10
T1806,13:24:29.0,93.565,16967,93.775,93.56,30,93.57,34,46305,1.58927e+10
T1806,13:24:29.500,93.565,16967,93.775,93.56,30,93.565,1,46305,1.58927e+10
T1806,13:24:30.0,93.565,16967,93.775,93.56,30,93.565,11,46305,1.58927e+10
T1806,13:24:30.500,93.565,16969,93.775,93.56,30,93.565,9,46307,1.58946e+10
T1806,13:24:31.0,93.565,16969,93.775,93.56,30,93.565,9,46307,1.58946e+10
T1806,13:24:33.500,93.565,16969,93.775,93.56,30,93.565,10,46307,1.58946e+10
T1806,13:24:34.0,93.565,16969,93.775,93.56,30,93.565,10,46307,1.58946e+10
T1806,13:24:34.500,93.565,16969,93.775,93.56,30,93.565,10,46307,1.58946e+10
T1806,13:24:35.0,93.565,16970,93.775,93.56,30,93.565,9,46308,1.58955e+10
T1806,13:24:35.500,93.565,16970,93.775,93.56,30,93.565,9,46308,1.58955e+10
T1806,13:24:36.500,93.565,16974,93.775,93.56,30,93.565,5,46308,1.58993e+10
T1806,13:24:37.0,93.565,16975,93.775,93.56,30,93.565,4,46308,1.59002e+10
T1806,13:24:37.500,93.565,16979,93.775,93.56,30,93.57,34,46311,1.59039e+10
T1806,13:24:38.0,93.57,16980,93.775,93.56,30,93.57,33,46311,1.59049e+10
T1806,13:24:38.500,93.57,16980,93.775,93.565,1,93.57,33,46311,1.59049e+10
T1806,13:24:41.0,93.57,16980,93.775,93.565,2,93.57,33,46311,1.59049e+10
T1806,13:24:41.500,93.57,16980,93.775,93.565,6,93.57,1,46311,1.59049e+10
T1806,13:24:42.0,93.57,16981,93.775,93.57,21,93.575,11,46311,1.59058e+10
T1806,13:24:42.500,93.57,16981,93.775,93.57,3,93.575,11,46311,1.59058e+10
T1806,13:24:43.0,93.57,16984,93.775,93.565,13,93.57,1,46311,1.59086e+10
T1806,13:24:43.500,93.57,16984,93.775,93.565,14,93.575,11,46311,1.59086e+10
T1806,13:24:44.500,93.57,16984,93.775,93.565,16,93.575,11,46311,1.59086e+10
T1806,13:24:45.0,93.575,16985,93.775,93.565,17,93.575,10,46310,1.59096e+10
T1806,13:24:45.500,93.565,17002,93.775,93.56,31,93.565,15,46305,1.59255e+10
T1806,13:24:46.0,93.565,17014,93.775,93.56,31,93.565,3,46300,1.59367e+10
T1806,13:24:46.500,93.565,17017,93.775,93.565,20,93.57,5,46297,1.59395e+10
T1806,13:24:47.0,93.565,17017,93.775,93.565,17,93.57,1,46297,1.59395e+10
T1806,13:24:47.500,93.565,17017,93.775,93.565,14,93.57,2,46297,1.59395e+10
T1806,13:24:48.0,93.565,17017,93.775,93.565,14,93.57,2,46297,1.59395e+10
T1806,13:24:49.500,93.565,17017,93.775,93.565,14,93.57,2,46297,1.59395e+10
T1806,13:24:50.500,93.57,17018,93.775,93.565,14,93.57,1,46298,1.59404e+10
T1806,13:24:51.500,93.57,17018,93.775,93.565,6,93.57,1,46298,1.59404e+10
T1806,13:24:52.0,93.57,17018,93.775,93.565,6,93.57,5,46298,1.59404e+10
T1806,13:24:52.500,93.565,17019,93.775,93.565,5,93.57,7,46298,1.59414e+10
T1806,13:24:53.0,93.57,17020,93.775,93.565,5,93.57,5,46297,1.59423e+10
T1806,13:24:53.500,93.57,17020,93.775,93.565,5,93.57,5,46297,1.59423e+10
T1806,13:24:54.0,93.57,17020,93.775,93.565,5,93.57,4,46297,1.59423e+10
T1806,13:24:54.500,93.57,17020,93.775,93.565,5,93.57,6,46297,1.59423e+10
T1806,13:24:55.0,93.57,17020,93.775,93.565,5,93.57,6,46297,1.59423e+10
T1806,13:24:55.500,93.57,17020,93.775,93.565,5,93.57,6,46297,1.59423e+10
T1806,13:24:56.0,93.57,17020,93.775,93.565,5,93.57,6,46297,1.59423e+10
T1806,13:24:56.500,93.57,17020,93.775,93.565,6,93.57,6,46297,1.59423e+10
T1806,13:24:57.0,93.57,17020,93.775,93.565,6,93.57,6,46297,1.59423e+10
T1806,13:24:57.500,93.56,17041,93.775,93.56,17,93.57,6,46312,1.5962e+10
T1806,13:24:58.0,93.56,17041,93.775,93.56,17,93.57,6,46312,1.5962e+10
T1806,13:24:58.500,93.56,17041,93.775,93.56,17,93.57,7,46312,1.5962e+10
T1806,13:24:59.0,93.56,17041,93.775,93.565,1,93.57,7,46312,1.5962e+10
T1806,13:24:59.500,93.565,17042,93.775,93.56,17,93.57,9,46311,1.59629e+10
T1806,13:25:00.0,93.565,17042,93.775,93.56,17,93.57,7,46311,1.59629e+10
T1806,13:25:00.500,93.565,17042,93.775,93.56,17,93.57,8,46311,1.59629e+10
T1806,13:25:01.0,93.565,17042,93.775,93.56,17,93.565,32,46311,1.59629e+10
T1806,13:25:01.500,93.565,17046,93.775,93.56,15,93.565,30,46310,1.59666e+10
T1806,13:25:02.0,93.56,17051,93.775,93.56,10,93.565,30,46310,1.59713e+10
T1806,13:25:02.500,93.56,17061,93.775,93.555,39,93.56,1,46317,1.59807e+10
T1806,13:25:03.0,93.565,17065,93.775,93.555,38,93.565,29,46320,1.59844e+10
T1806,13:25:03.500,93.565,17065,93.775,93.555,38,93.565,29,46320,1.59844e+10
T1806,13:25:04.0,93.565,17065,93.775,93.555,38,93.565,31,46320,1.59844e+10
T1806,13:25:04.500,93.565,17065,93.775,93.555,38,93.565,31,46320,1.59844e+10
T1806,13:25:05.0,93.565,17065,93.775,93.555,38,93.565,30,46320,1.59844e+10
T1806,13:25:05.500,93.565,17065,93.775,93.56,2,93.565,30,46320,1.59844e+10
T1806,13:25:06.0,93.565,17065,93.775,93.56,2,93.565,30,46320,1.59844e+10
T1806,13:25:06.500,93.565,17065,93.775,93.56,2,93.565,30,46320,1.59844e+10
T1806,13:25:07.0,93.565,17065,93.775,93.56,2,93.565,30,46320,1.59844e+10
T1806,13:25:08.500,93.565,17065,93.775,93.56,2,93.565,30,46320,1.59844e+10
T1806,13:25:10.0,93.565,17065,93.775,93.56,3,93.565,30,46320,1.59844e+10
T1806,13:25:10.500,93.565,17065,93.775,93.56,4,93.565,30,46320,1.59844e+10
T1806,13:25:11.0,93.56,17068,93.775,93.56,1,93.565,30,46320,1.59872e+10
T1806,13:25:11.500,93.56,17070,93.775,93.56,1,93.565,30,46318,1.59891e+10
T1806,13:25:12.0,93.56,17072,93.775,93.555,37,93.56,1,46318,1.5991e+10
T1806,13:25:12.500,93.56,17073,93.775,93.555,38,93.56,1,46318,1.59919e+10
T1806,13:25:13.0,93.555,17075,93.775,93.555,36,93.56,2,46318,1.59938e+10
T1806,13:25:13.500,93.56,17083,93.775,93.555,30,93.56,5,46317,1.60012e+10
T1806,13:25:14.0,93.56,17083,93.775,93.555,30,93.56,9,46317,1.60012e+10
T1806,13:25:14.500,93.56,17086,93.775,93.555,29,93.56,7,46316,1.60041e+10
T1806,13:25:15.0,93.56,17086,93.775,93.555,29,93.56,7,46316,1.60041e+10
T1806,13:25:15.500,93.56,17086,93.775,93.555,29,93.56,7,46316,1.60041e+10
T1806,13:25:17.500,93.56,17089,93.775,93.555,28,93.56,4,46318,1.60069e+10
T1806,13:25:18.0,93.56,17089,93.775,93.555,28,93.56,4,46318,1.60069e+10
T1806,13:25:18.500,93.56,17089,93.775,93.555,28,93.56,4,46318,1.60069e+10
T1806,13:25:19.0,93.56,17093,93.775,93.56,16,93.565,30,46319,1.60106e+10
T1806,13:25:19.500,93.56,17095,93.775,93.56,14,93.565,30,46320,1.60125e+10
T1806,13:25:20.0,93.56,17096,93.775,93.56,14,93.565,30,46321,1.60134e+10
T1806,13:25:20.500,93.56,17096,93.775,93.56,15,93.565,30,46321,1.60134e+10
T1806,13:25:22.500,93.565,17097,93.775,93.56,15,93.565,29,46321,1.60143e+10
T1806,13:25:23.0,93.56,17099,93.775,93.56,13,93.565,29,46322,1.60162e+10
T1806,13:25:23.500,93.565,17104,93.775,93.56,13,93.565,24,46319,1.60209e+10
T1806,13:25:24.0,93.565,17104,93.775,93.56,14,93.565,24,46319,1.60209e+10
T1806,13:25:24.500,93.565,17104,93.775,93.56,14,93.565,24,46319,1.60209e+10
T1806,13:25:25.500,93.56,17105,93.775,93.56,14,93.565,24,46319,1.60218e+10
T1806,13:25:26.0,93.56,17105,93.775,93.56,18,93.565,24,46319,1.60218e+10
T1806,13:25:26.500,93.56,17106,93.775,93.56,17,93.565,24,46320,1.60228e+10
T1806,13:25:27.500,93.56,17106,93.775,93.56,17,93.565,24,46320,1.60228e+10
T1806,13:25:29.0,93.56,17108,93.775,93.56,15,93.565,24,46320,1.60246e+10
T1806,13:25:29.500,93.56,17108,93.775,93.56,18,93.565,24,46320,1.60246e+10
T1806,13:25:30.0,93.56,17108,93.775,93.56,18,93.565,24,46320,1.60246e+10
T1806,13:25:30.500,93.56,17108,93.775,93.56,18,93.565,24,46320,1.60246e+10
T1806,13:25:31.0,93.56,17108,93.775,93.56,18,93.565,24,46320,1.60246e+10
