合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,换手率
j1805,09:21:14.0,2084.5,168902,2084.5,8,2085,15,176438,3.49895e+10
j1805,09:21:14.500,2084.5,168918,2084,19,2084.5,9,176424,3.49928e+10
j1805,09:21:15.0,2084,168920,2084,18,2084.5,9,176426,3.49932e+10
j1805,09:21:15.500,2084,168926,2084,15,2084.5,11,176422,3.49945e+10
j1805,09:21:16.0,2084.5,168944,2084,7,2084.5,10,176414,3.49982e+10
j1805,09:21:16.500,2084,168954,2084,2,2084.5,12,176420,3.50003e+10
j1805,09:21:17.0,2084,168954,2084,4,2084.5,12,176420,3.50003e+10
